POPULATION_SIZE,TOURNAMENT_SIZE,MUTATION_RATE,CONVERGENCE_GENERATIONS,completion_time,avg_departure_delay,best_fitness,generations,num_collisions
50,3,0.2,30,51,16.72,-67.72,123,0
50,3,0.2,50,51,14.76,-65.76,205,0
50,3,0.2,70,51,14.76,-65.76,225,0
50,3,0.4,30,60,19.74,-79.74,60,0
50,3,0.4,50,60,19.74,-79.74,80,0
50,3,0.4,70,60,19.74,-79.74,100,0
50,3,0.6,30,63,25.06,-88.06,55,0
50,3,0.6,50,63,25.06,-88.06,75,0
50,3,0.6,70,63,25.06,-88.06,95,0
50,3,0.8,30,62,21.46,-10083.46,40,1
50,3,0.8,50,64,22.86,-86.86,104,0
50,3,0.8,70,64,22.86,-86.86,124,0
50,5,0.2,30,49,14.8,-63.8,139,0
50,5,0.2,50,49,14.8,-63.8,159,0
50,5,0.2,70,49,14.8,-63.8,179,0
50,5,0.4,30,59,21.86,-80.86,47,0
50,5,0.4,50,59,21.86,-80.86,67,0
50,5,0.4,70,59,21.86,-80.86,87,0
50,5,0.6,30,61,24.94,-85.94,59,0
50,5,0.6,50,61,24.94,-85.94,79,0
50,5,0.6,70,61,24.94,-85.94,99,0
50,5,0.8,30,65,28.16,-93.16,54,0
50,5,0.8,50,62,26.26,-88.26,117,0
50,5,0.8,70,62,26.26,-88.26,137,0
50,7,0.2,30,44,15.04,-59.04,159,0
50,7,0.2,50,44,15.04,-59.04,179,0
50,7,0.2,70,44,14.34,-58.34,267,0
50,7,0.4,30,63,21.34,-84.34,37,0
50,7,0.4,50,63,21.34,-84.34,57,0
50,7,0.4,70,60,20.88,-80.88,179,0
50,7,0.6,30,57,24.06,-81.06,80,0
50,7,0.6,50,57,24.06,-81.06,100,0
50,7,0.6,70,57,24.06,-81.06,120,0
50,7,0.8,30,65,23.04,-88.03999999999999,39,0
50,7,0.8,50,63,23.98,-86.98,108,0
50,7,0.8,70,63,23.98,-86.98,128,0
50,10,0.2,30,48,14.96,-62.96,82,0
50,10,0.2,50,46,13.28,-59.28,302,0
50,10,0.2,70,45,12.34,-57.34,481,0
50,10,0.4,30,58,20.96,-78.96000000000001,38,0
50,10,0.4,50,56,19.78,-75.78,91,0
50,10,0.4,70,56,19.78,-75.78,111,0
50,10,0.6,30,57,21.72,-78.72,92,0
50,10,0.6,50,57,21.72,-78.72,112,0
50,10,0.6,70,57,21.72,-78.72,132,0
50,10,0.8,30,63,22.54,-85.53999999999999,90,0
50,10,0.8,50,63,22.54,-85.53999999999999,110,0
50,10,0.8,70,63,22.54,-85.53999999999999,130,0
100,3,0.2,30,56,15.82,-71.82,38,0
100,3,0.2,50,47,17.56,-64.56,150,0
100,3,0.2,70,47,17.56,-64.56,170,0
100,3,0.4,30,60,20.54,-80.53999999999999,60,0
100,3,0.4,50,60,20.54,-80.53999999999999,80,0
100,3,0.4,70,60,20.54,-80.53999999999999,100,0
100,3,0.6,30,60,24.72,-84.72,45,0
100,3,0.6,50,60,24.72,-84.72,65,0
100,3,0.6,70,60,21.1,-81.1,147,0
100,3,0.8,30,59,23.12,-10082.12,39,1
100,3,0.8,50,61,25.34,-86.34,104,0
100,3,0.8,70,61,25.34,-86.34,124,0
100,5,0.2,30,56,12.82,-68.82,56,0
100,5,0.2,50,45,14.76,-59.76,269,0
100,5,0.2,70,45,14.76,-59.76,289,0
100,5,0.4,30,58,19.76,-77.76,48,0
100,5,0.4,50,58,19.76,-77.76,68,0
100,5,0.4,70,58,19.76,-77.76,88,0
100,5,0.6,30,57,19.6,-76.6,38,0
100,5,0.6,50,57,19.6,-76.6,58,0
100,5,0.6,70,57,19.6,-76.6,78,0
100,5,0.8,30,57,20.74,-77.74,97,0
100,5,0.8,50,57,20.74,-77.74,117,0
100,5,0.8,70,57,20.74,-77.74,137,0
100,7,0.2,30,49,13.24,-62.24,119,0
100,7,0.2,50,48,12.7,-60.7,190,0
100,7,0.2,70,46,10.74,-56.74,467,0
100,7,0.4,30,54,21.36,-75.36,35,0
100,7,0.4,50,54,21.36,-75.36,55,0
100,7,0.4,70,54,21.36,-75.36,75,0
100,7,0.6,30,58,27.12,-85.12,48,0
